Časť:,Číslo:,"Začiatok:, Dátum: ","Začiatok:, Čas: ","Koniec:, Dátum: ","Koniec:, Čas: ",Viditeľnosť,Viditeľnosť vzorákov,Výsledky sú finálne
"2. (Letná) časť, 21. ročník FKS",1,28.1.2006,0:00:00,27.2.2006,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 21. ročník FKS",2,28.2.2006,0:00:00,30.3.2006,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 21. ročník FKS",3,24.4.2006,0:00:00,24.5.2006,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 22. ročník FKS",1,9.9.2006,0:00:00,9.10.2006,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 22. ročník FKS",2,21.10.2006,0:00:00,20.11.2006,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 22. ročník FKS",3,4.11.2006,0:00:00,4.12.2006,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 22. ročník FKS",1,3.2.2007,0:00:00,5.3.2007,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 22. ročník FKS",2,11.3.2007,0:00:00,10.4.2007,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 22. ročník FKS",3,7.4.2007,0:00:00,7.5.2007,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 23. ročník FKS",1,8.9.2007,0:00:00,8.10.2007,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 23. ročník FKS",2,13.10.2007,0:00:00,12.11.2007,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 23. ročník FKS",3,3.11.2007,0:00:00,3.12.2007,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 23. ročník FKS",1,26.1.2008,0:00:00,25.2.2008,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 23. ročník FKS",2,8.3.2008,0:00:00,7.4.2008,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 23. ročník FKS",3,12.4.2008,0:00:00,12.5.2008,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 24. ročník FKS",1,13.9.2008,0:00:00,13.10.2008,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 24. ročník FKS",2,19.10.2008,0:00:00,18.11.2008,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 24. ročník FKS",3,8.11.2008,0:00:00,8.12.2008,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 24. ročník FKS",1,31.1.2009,0:00:00,2.3.2009,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 24. ročník FKS",2,16.3.2009,0:00:00,15.4.2009,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 24. ročník FKS",3,11.4.2009,0:00:00,11.5.2009,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 25. ročník FKS",1,12.9.2009,0:00:00,12.10.2009,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 25. ročník FKS",2,17.10.2009,0:00:00,16.11.2009,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 25. ročník FKS",3,7.11.2009,0:00:00,7.12.2009,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 25. ročník FKS",1,30.1.2010,0:00:00,1.3.2010,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 25. ročník FKS",2,13.3.2010,0:00:00,12.4.2010,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 25. ročník FKS",3,10.4.2010,0:00:00,10.5.2010,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 26. ročník FKS",1,11.9.2010,0:00:00,11.10.2010,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 26. ročník FKS",2,16.10.2010,0:00:00,15.11.2010,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 26. ročník FKS",3,6.11.2010,0:00:00,6.12.2010,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 26. ročník FKS",1,5.2.2011,0:00:00,7.3.2011,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 26. ročník FKS",2,12.3.2011,0:00:00,11.4.2011,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 26. ročník FKS",3,23.4.2011,0:00:00,23.5.2011,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 27. ročník FKS",1,3.9.2011,0:00:00,3.10.2011,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 27. ročník FKS",2,29.10.2011,0:00:00,28.11.2011,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 27. ročník FKS",3,12.11.2011,0:00:00,12.12.2011,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 27. ročník FKS",1,28.1.2012,0:00:00,27.2.2012,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 27. ročník FKS",2,17.3.2012,0:00:00,16.4.2012,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 27. ročník FKS",3,14.4.2012,0:00:00,14.5.2012,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 28. ročník FKS",1,15.9.2012,0:00:00,15.10.2012,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 28. ročník FKS",2,27.10.2012,0:00:00,26.11.2012,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 28. ročník FKS",3,10.11.2012,0:00:00,10.12.2012,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 28. ročník FKS",1,9.2.2013,0:00:00,11.3.2013,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 28. ročník FKS",2,16.3.2013,0:00:00,15.4.2013,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 28. ročník FKS",3,12.4.2013,0:00:00,12.5.2013,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 29. ročník FKS",1,31.8.2013,0:00:00,30.9.2013,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 29. ročník FKS",2,28.9.2013,0:00:00,28.10.2013,23:59:59,TRUE,TRUE,TRUE
"1. (Zimná) časť, 29. ročník FKS",3,2.11.2013,0:00:00,2.12.2013,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 29. ročník FKS",1,25.1.2014,0:00:00,24.2.2014,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 29. ročník FKS",2,1.3.2014,0:00:00,31.3.2014,23:59:59,TRUE,TRUE,TRUE
"2. (Letná) časť, 29. ročník FKS",3,19.4.2014,0:00:00,19.5.2014,23:59:59,TRUE,TRUE,TRUE
